experiment,locality,policy,K,n_instances,n_requests,advertised_entries,index_entries_bound,metadata_snapshot_bytes,hit_rate,exact_hit_rate,saved_ms_total,exact_saved_ms_total,saved_vs_exact_ratio,stale_lookup_miss_rate,candidate_fanout_p95,claim_relevance
admission_ablation,high,coverage_k,32,64,6000,2048,2048,137216,0.8907,0.9185,255801.0,256512.41,0.9972,0.0463,560,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,high,demand_aware,32,64,6000,2048,2048,137216,0.7955,0.9185,236982.9,256512.41,0.9239,0.023,827,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,random_k,1,64,6000,64,64,10240,0.2552,0.8505,41644.92,209480.49,0.1988,0.0548,6,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,lru_k,1,64,6000,64,64,10240,0.3882,0.8505,74446.48,209480.49,0.3554,0.0052,4,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,coverage_k,1,64,6000,64,64,10240,0.2307,0.8505,70485.89,209480.49,0.3365,0.0662,8,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,demand_aware,1,64,6000,64,64,10240,0.1663,0.8505,50289.91,209480.49,0.2401,0.0188,55,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,random_k,2,64,6000,128,128,14336,0.3555,0.8505,60298.03,209480.49,0.2878,0.1053,8,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,lru_k,2,64,6000,128,128,14336,0.5178,0.8505,109554.14,209480.49,0.523,0.0112,5,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,coverage_k,2,64,6000,128,128,14336,0.3273,0.8505,99808.47,209480.49,0.4765,0.0973,13,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,demand_aware,2,64,6000,128,128,14336,0.2125,0.8505,61868.59,209480.49,0.2953,0.012,94,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,random_k,4,64,6000,256,256,22528,0.454,0.8505,81253.99,209480.49,0.3879,0.1077,20,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,lru_k,4,64,6000,256,256,22528,0.6267,0.8505,148537.43,209480.49,0.7091,0.0195,11,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,coverage_k,4,64,6000,256,256,22528,0.4667,0.8505,141743.92,209480.49,0.6766,0.1078,26,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,demand_aware,4,64,6000,256,256,22528,0.2672,0.8505,78347.83,209480.49,0.374,0.019,147,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,random_k,8,64,6000,512,512,38912,0.5868,0.8505,120568.07,209480.49,0.5756,0.1088,48,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,lru_k,8,64,6000,512,512,38912,0.7368,0.8505,177261.09,209480.49,0.8462,0.0343,16,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,coverage_k,8,64,6000,512,512,38912,0.5792,0.8505,173329.79,209480.49,0.8274,0.1082,49,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,demand_aware,8,64,6000,512,512,38912,0.3768,0.8505,112480.17,209480.49,0.5369,0.0322,226,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,random_k,16,64,6000,1024,1024,71680,0.6872,0.8505,145977.03,209480.49,0.6969,0.1183,96,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,lru_k,16,64,6000,1024,1024,71680,0.8172,0.8505,200052.36,209480.49,0.955,0.0615,22,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,coverage_k,16,64,6000,1024,1024,71680,0.7017,0.8505,199137.74,209480.49,0.9506,0.1057,96,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,demand_aware,16,64,6000,1024,1024,71680,0.531,0.8505,156159.5,209480.49,0.7455,0.0498,267,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,random_k,32,64,6000,2048,2048,137216,0.8012,0.8505,188586.05,209480.49,0.9003,0.104,200,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,lru_k,32,64,6000,2048,2048,137216,0.8505,0.8505,209480.49,209480.49,1.0,0.0872,152,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,coverage_k,32,64,6000,2048,2048,137216,0.8027,0.8505,208126.91,209480.49,0.9935,0.1017,198,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,medium,demand_aware,32,64,6000,2048,2048,137216,0.7357,0.8505,200362.21,209480.49,0.9565,0.0732,270,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,random_k,1,64,6000,64,64,10240,0.0622,0.8258,8670.27,168099.97,0.0516,0.0242,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,lru_k,1,64,6000,64,64,10240,0.0975,0.8258,13506.43,168099.97,0.0803,0.0028,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,coverage_k,1,64,6000,64,64,10240,0.059,0.8258,17990.63,168099.97,0.107,0.0227,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,demand_aware,1,64,6000,64,64,10240,0.0718,0.8258,21451.34,168099.97,0.1276,0.03,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,random_k,2,64,6000,128,128,14336,0.1138,0.8258,15427.81,168099.97,0.0918,0.0472,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,lru_k,2,64,6000,128,128,14336,0.1812,0.8258,27908.73,168099.97,0.166,0.0078,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,coverage_k,2,64,6000,128,128,14336,0.1157,0.8258,35132.92,168099.97,0.209,0.0473,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,demand_aware,2,64,6000,128,128,14336,0.1283,0.8258,38141.93,168099.97,0.2269,0.0477,2,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,random_k,4,64,6000,256,256,22528,0.2147,0.8258,26103.72,168099.97,0.1553,0.1007,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,lru_k,4,64,6000,256,256,22528,0.3313,0.8258,52143.43,168099.97,0.3102,0.0178,1,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,coverage_k,4,64,6000,256,256,22528,0.2162,0.8258,65255.87,168099.97,0.3882,0.0865,2,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,demand_aware,4,64,6000,256,256,22528,0.2172,0.8258,64323.73,168099.97,0.3827,0.0787,3,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,random_k,8,64,6000,512,512,38912,0.3777,0.8258,50535.61,168099.97,0.3006,0.1355,3,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,lru_k,8,64,6000,512,512,38912,0.5237,0.8258,85586.93,168099.97,0.5091,0.0437,2,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,coverage_k,8,64,6000,512,512,38912,0.3715,0.8258,110253.76,168099.97,0.6559,0.1382,2,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,demand_aware,8,64,6000,512,512,38912,0.3695,0.8258,105838.33,168099.97,0.6296,0.1178,4,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,random_k,16,64,6000,1024,1024,71680,0.5798,0.8258,89790.06,168099.97,0.5341,0.1742,4,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,lru_k,16,64,6000,1024,1024,71680,0.7213,0.8258,129324.35,168099.97,0.7693,0.0868,4,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,coverage_k,16,64,6000,1024,1024,71680,0.5595,0.8258,147610.98,168099.97,0.8781,0.1687,4,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,demand_aware,16,64,6000,1024,1024,71680,0.5472,0.8258,143975.8,168099.97,0.8565,0.1597,5,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,random_k,32,64,6000,2048,2048,137216,0.746,0.8258,138530.34,168099.97,0.8241,0.178,7,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,lru_k,32,64,6000,2048,2048,137216,0.8248,0.8258,167822.98,168099.97,0.9984,0.1405,6,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,coverage_k,32,64,6000,2048,2048,137216,0.7477,0.8258,165831.35,168099.97,0.9865,0.173,7,Demand-aware top-K should retain high-value prefix affinity under bounded K.
admission_ablation,low,demand_aware,32,64,6000,2048,2048,137216,0.736,0.8258,164966.66,168099.97,0.9814,0.157,8,Demand-aware top-K should retain high-value prefix affinity under bounded K.
