scenario,policy_family,K,load_reuse,exact_reuse,sketch_reuse,sketch_reuse_gain_capture,load_ttft_p95_ms,exact_ttft_p95_ms,sketch_ttft_p95_ms,sketch_ttft_gain_capture,exact_metadata_B,sketch_metadata_B,sketch_metadata_vs_exact,writing_guidance
remap_restart,power2,16,0.42,0.82,0.805,0.9625,150.0,150.0,150.0,n/a,3840,4032,1.05,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,2,0.78,0.795,0.8,1.3333,150.0,150.0,150.0,n/a,4160,3008,0.7231,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,4,0.78,0.795,0.8,1.3333,150.0,150.0,150.0,n/a,4160,3776,0.9077,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,8,0.78,0.795,0.81,2.0,150.0,150.0,150.0,n/a,4160,3968,0.9538,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,16,0.78,0.795,0.805,1.6667,150.0,150.0,150.0,n/a,4160,4032,0.9692,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,2,0.75,0.81,0.815,1.0833,150.0,150.0,150.0,n/a,3968,2944,0.7419,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,4,0.75,0.81,0.805,0.9167,150.0,150.0,150.0,n/a,3968,3840,0.9677,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,8,0.75,0.81,0.835,1.4167,150.0,150.0,150.0,n/a,3968,3648,0.9194,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,16,0.75,0.81,0.805,0.9167,150.0,150.0,150.0,n/a,3968,4032,1.0161,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,2,0.505,0.83,0.75,0.7538,150.0,150.0,150.0,n/a,3712,3072,0.8276,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,4,0.505,0.83,0.75,0.7538,150.0,150.0,150.0,n/a,3712,3904,1.0517,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,8,0.505,0.83,0.805,0.9231,150.0,150.0,150.0,n/a,3712,4032,1.0862,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,16,0.505,0.83,0.805,0.9231,150.0,150.0,150.0,n/a,3712,4032,1.0862,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,2,0.75,0.805,0.83,1.4545,150.0,150.0,150.0,n/a,4032,2880,0.7143,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,4,0.75,0.805,0.81,1.0909,150.0,150.0,150.0,n/a,4032,3584,0.8889,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,8,0.75,0.805,0.805,1.0,150.0,150.0,150.0,n/a,4032,4032,1.0,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,16,0.75,0.805,0.83,1.4545,150.0,150.0,150.0,n/a,4032,3712,0.9206,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
