request_id,arrival_time,tenant,model_revision,full_prefix_hash_chain,prefix_length,expected_reuse_coverage,generation_length,locality_class,digest,discard
32,0.64,t00,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-062"", ""p00256""]",256,0.5,32,low,p00256,False
33,0.66,t13,qwen2.5-1.5b-r1,"[""root-06"", ""tenant-091"", ""p00285""]",512,0.6666666666666666,32,low,p00285,False
34,0.68,t11,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-074"", ""p00171""]",1024,1.0,32,low,p00171,False
35,0.7000000000000001,t06,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-001"", ""p00486""]",2048,0.8333333333333333,32,low,p00486,False
36,0.72,t02,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-094"", ""p00482""]",256,0.8333333333333333,32,low,p00482,False
37,0.74,t10,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-055"", ""p00346""]",512,0.8333333333333333,32,low,p00346,False
38,0.76,t07,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-037"", ""p00231""]",1024,1.0,32,low,p00231,False
39,0.78,t10,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-026"", ""p00026""]",2048,0.8333333333333333,32,low,p00026,False
40,0.8,t01,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-032"", ""p00129""]",256,0.6666666666666666,32,low,p00129,False
41,0.8200000000000001,t02,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-017"", ""p00114""]",512,0.8333333333333333,32,low,p00114,False
42,0.84,t03,qwen2.5-1.5b-r1,"[""root-06"", ""tenant-002"", ""p00099""]",1024,1.0,32,low,p00099,False
43,0.86,t03,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-046"", ""p00531""]",2048,1.0,32,low,p00531,False
44,0.88,t05,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-085"", ""p00085""]",256,0.6666666666666666,32,low,p00085,False
45,0.9,t10,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-085"", ""p00570""]",512,0.8333333333333333,32,low,p00570,False
46,0.92,t05,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-032"", ""p00517""]",1024,0.6666666666666666,32,low,p00517,False
47,0.9400000000000001,t03,qwen2.5-1.5b-r1,"[""root-30"", ""tenant-080"", ""p00371""]",2048,1.0,32,low,p00371,False
48,0.96,t11,qwen2.5-1.5b-r1,"[""root-02"", ""tenant-025"", ""p00219""]",256,1.0,32,low,p00219,False
49,0.98,t00,qwen2.5-1.5b-r1,"[""root-11"", ""tenant-061"", ""p00352""]",512,0.5,32,low,p00352,False
50,1.0,t10,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-054"", ""p00442""]",1024,0.8333333333333333,32,low,p00442,False
51,1.02,t01,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-029"", ""p00417""]",2048,0.6666666666666666,32,low,p00417,False
52,1.04,t12,qwen2.5-1.5b-r1,"[""root-03"", ""tenant-026"", ""p00220""]",256,0.5,32,low,p00220,False
53,1.06,t14,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-025"", ""p00510""]",512,0.8333333333333333,32,low,p00510,False
54,1.08,t09,qwen2.5-1.5b-r1,"[""root-18"", ""tenant-006"", ""p00297""]",1024,0.6666666666666666,32,low,p00297,False
55,1.1,t05,qwen2.5-1.5b-r1,"[""root-29"", ""tenant-083"", ""p00277""]",2048,0.6666666666666666,32,low,p00277,False
56,1.12,t02,qwen2.5-1.5b-r1,"[""root-27"", ""tenant-015"", ""p00306""]",256,0.8333333333333333,32,low,p00306,False
57,1.1400000000000001,t02,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-094"", ""p00482""]",512,0.8333333333333333,32,low,p00482,False
58,1.16,t09,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-009"", ""p00009""]",1024,0.6666666666666666,32,low,p00009,False
59,1.18,t02,qwen2.5-1.5b-r1,"[""root-24"", ""tenant-016"", ""p00210""]",2048,0.8333333333333333,32,low,p00210,False
60,1.2,t11,qwen2.5-1.5b-r1,"[""root-28"", ""tenant-070"", ""p00555""]",256,1.0,32,low,p00555,False
61,1.22,t07,qwen2.5-1.5b-r1,"[""root-30"", ""tenant-053"", ""p00247""]",512,1.0,32,low,p00247,False
62,1.24,t07,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-017"", ""p00599""]",1024,1.0,32,low,p00599,False
63,1.26,t14,qwen2.5-1.5b-r1,"[""root-03"", ""tenant-061"", ""p00158""]",2048,0.8333333333333333,32,low,p00158,False
64,1.28,t03,qwen2.5-1.5b-r1,"[""root-24"", ""tenant-082"", ""p00179""]",256,1.0,32,low,p00179,False
65,1.3,t13,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-027"", ""p00221""]",512,0.6666666666666666,32,low,p00221,False
66,1.32,t04,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-020"", ""p00020""]",1024,0.5,32,low,p00020,False
67,1.34,t10,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-073"", ""p00170""]",2048,0.8333333333333333,32,low,p00170,False
68,1.36,t07,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-023"", ""p00023""]",256,1.0,32,low,p00023,False
69,1.3800000000000001,t01,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-014"", ""p00305""]",512,0.6666666666666666,32,low,p00305,False
70,1.4000000000000001,t05,qwen2.5-1.5b-r1,"[""root-28"", ""tenant-051"", ""p00245""]",1024,0.6666666666666666,32,low,p00245,False
71,1.42,t02,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-030"", ""p00418""]",2048,0.8333333333333333,32,low,p00418,False
72,1.44,t06,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-035"", ""p00326""]",256,0.8333333333333333,32,low,p00326,False
73,1.46,t05,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-015"", ""p00597""]",512,0.6666666666666666,32,low,p00597,False
74,1.48,t15,qwen2.5-1.5b-r1,"[""root-18"", ""tenant-014"", ""p00111""]",1024,1.0,32,low,p00111,False
75,1.5,t04,qwen2.5-1.5b-r1,"[""root-01"", ""tenant-016"", ""p00404""]",2048,0.5,32,low,p00404,False
76,1.52,t13,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-012"", ""p00109""]",256,0.6666666666666666,32,low,p00109,False
77,1.54,t10,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-008"", ""p00202""]",512,0.8333333333333333,32,low,p00202,False
78,1.56,t15,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-028"", ""p00319""]",1024,1.0,32,low,p00319,False
79,1.58,t13,qwen2.5-1.5b-r1,"[""root-02"", ""tenant-060"", ""p00157""]",2048,0.6666666666666666,32,low,p00157,False
80,1.6,t05,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-035"", ""p00229""]",256,0.6666666666666666,32,low,p00229,False
81,1.62,t04,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-020"", ""p00020""]",512,0.5,32,low,p00020,False
82,1.6400000000000001,t13,qwen2.5-1.5b-r1,"[""root-00"", ""tenant-093"", ""p00093""]",1024,0.6666666666666666,32,low,p00093,False
83,1.6600000000000001,t15,qwen2.5-1.5b-r1,"[""root-06"", ""tenant-029"", ""p00223""]",2048,1.0,32,low,p00223,False
84,1.68,t14,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-011"", ""p00302""]",256,0.8333333333333333,32,low,p00302,False
85,1.7,t15,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-076"", ""p00367""]",512,1.0,32,low,p00367,False
86,1.72,t13,qwen2.5-1.5b-r1,"[""root-27"", ""tenant-073"", ""p00461""]",1024,0.6666666666666666,32,low,p00461,False
87,1.74,t02,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-077"", ""p00562""]",2048,0.8333333333333333,32,low,p00562,False
88,1.76,t09,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-020"", ""p00505""]",256,0.6666666666666666,32,low,p00505,False
89,1.78,t00,qwen2.5-1.5b-r1,"[""root-07"", ""tenant-030"", ""p00224""]",512,0.5,32,low,p00224,False
90,1.8,t12,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-023"", ""p00508""]",1024,0.5,32,low,p00508,False
91,1.82,t04,qwen2.5-1.5b-r1,"[""root-22"", ""tenant-084"", ""p00084""]",2048,0.5,32,low,p00084,False
92,1.84,t05,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-000"", ""p00485""]",256,0.6666666666666666,32,low,p00485,False
93,1.86,t05,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-005"", ""p00005""]",512,0.6666666666666666,32,low,p00005,False
94,1.8800000000000001,t00,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-093"", ""p00384""]",1024,0.5,32,low,p00384,False
95,1.9000000000000001,t08,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-039"", ""p00136""]",2048,0.5,32,low,p00136,False
96,1.92,t07,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-070"", ""p00167""]",256,1.0,32,low,p00167,False
97,1.94,t03,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-066"", ""p00163""]",512,1.0,32,low,p00163,False
98,1.96,t12,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-072"", ""p00460""]",1024,0.5,32,low,p00460,False
99,1.98,t10,qwen2.5-1.5b-r1,"[""root-28"", ""tenant-090"", ""p00090""]",2048,0.8333333333333333,32,low,p00090,False
100,2.0,t11,qwen2.5-1.5b-r1,"[""root-00"", ""tenant-058"", ""p00155""]",256,1.0,32,low,p00155,False
101,2.02,t06,qwen2.5-1.5b-r1,"[""root-01"", ""tenant-051"", ""p00342""]",512,0.8333333333333333,32,low,p00342,False
102,2.04,t15,qwen2.5-1.5b-r1,"[""root-02"", ""tenant-095"", ""p00095""]",1024,1.0,32,low,p00095,False
103,2.06,t11,qwen2.5-1.5b-r1,"[""root-22"", ""tenant-072"", ""p00363""]",2048,1.0,32,low,p00363,False
104,2.08,t05,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-081"", ""p00469""]",256,0.6666666666666666,32,low,p00469,False
105,2.1,t12,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-075"", ""p00172""]",512,0.5,32,low,p00172,False
106,2.12,t07,qwen2.5-1.5b-r1,"[""root-30"", ""tenant-053"", ""p00247""]",1024,1.0,32,low,p00247,False
107,2.14,t03,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-067"", ""p00067""]",2048,1.0,32,low,p00067,False
108,2.16,t04,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-020"", ""p00020""]",256,0.5,32,low,p00020,False
109,2.18,t03,qwen2.5-1.5b-r1,"[""root-13"", ""tenant-032"", ""p00323""]",512,1.0,32,low,p00323,False
110,2.2,t08,qwen2.5-1.5b-r1,"[""root-11"", ""tenant-007"", ""p00104""]",1024,0.5,32,low,p00104,False
111,2.22,t09,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-005"", ""p00393""]",2048,0.6666666666666666,32,low,p00393,False
112,2.24,t02,qwen2.5-1.5b-r1,"[""root-11"", ""tenant-096"", ""p00290""]",256,0.8333333333333333,32,low,p00290,False
113,2.2600000000000002,t01,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-031"", ""p00225""]",512,0.6666666666666666,32,low,p00225,False
114,2.2800000000000002,t06,qwen2.5-1.5b-r1,"[""root-22"", ""tenant-033"", ""p00518""]",1024,0.8333333333333333,32,low,p00518,False
115,2.3000000000000003,t01,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-015"", ""p00209""]",2048,0.6666666666666666,32,low,p00209,False
116,2.32,t15,qwen2.5-1.5b-r1,"[""root-02"", ""tenant-009"", ""p00591""]",256,1.0,32,low,p00591,False
117,2.34,t01,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-095"", ""p00289""]",512,0.6666666666666666,32,low,p00289,False
118,2.36,t15,qwen2.5-1.5b-r1,"[""root-18"", ""tenant-014"", ""p00111""]",1024,1.0,32,low,p00111,False
119,2.38,t14,qwen2.5-1.5b-r1,"[""root-13"", ""tenant-090"", ""p00478""]",2048,0.8333333333333333,32,low,p00478,False
120,2.4,t02,qwen2.5-1.5b-r1,"[""root-18"", ""tenant-018"", ""p00018""]",256,0.8333333333333333,32,low,p00018,False
121,2.42,t12,qwen2.5-1.5b-r1,"[""root-00"", ""tenant-027"", ""p00124""]",512,0.5,32,low,p00124,False
122,2.44,t10,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-041"", ""p00138""]",1024,0.8333333333333333,32,low,p00138,False
123,2.46,t08,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-040"", ""p00040""]",2048,0.5,32,low,p00040,False
124,2.48,t07,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-019"", ""p00407""]",256,1.0,32,low,p00407,False
125,2.5,t15,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-076"", ""p00367""]",512,1.0,32,low,p00367,False
126,2.52,t12,qwen2.5-1.5b-r1,"[""root-13"", ""tenant-044"", ""p00044""]",1024,0.5,32,low,p00044,False
127,2.54,t14,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-013"", ""p00110""]",2048,0.8333333333333333,32,low,p00110,False
128,2.56,t07,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-019"", ""p00407""]",256,1.0,32,low,p00407,False
129,2.58,t14,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-028"", ""p00222""]",512,0.8333333333333333,32,low,p00222,False
130,2.6,t12,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-056"", ""p00444""]",1024,0.5,32,low,p00444,False
131,2.62,t11,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-042"", ""p00139""]",2048,1.0,32,low,p00139,False
132,2.64,t11,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-040"", ""p00331""]",256,1.0,32,low,p00331,False
133,2.66,t11,qwen2.5-1.5b-r1,"[""root-02"", ""tenant-025"", ""p00219""]",512,1.0,32,low,p00219,False
134,2.68,t01,qwen2.5-1.5b-r1,"[""root-29"", ""tenant-013"", ""p00401""]",1024,0.6666666666666666,32,low,p00401,False
135,2.7,t11,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-024"", ""p00315""]",2048,1.0,32,low,p00315,False
136,2.72,t10,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-010"", ""p00010""]",256,0.8333333333333333,32,low,p00010,False
137,2.74,t06,qwen2.5-1.5b-r1,"[""root-12"", ""tenant-004"", ""p00198""]",512,0.8333333333333333,32,low,p00198,False
138,2.7600000000000002,t14,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-091"", ""p00382""]",1024,0.8333333333333333,32,low,p00382,False
139,2.7800000000000002,t08,qwen2.5-1.5b-r1,"[""root-03"", ""tenant-053"", ""p00344""]",2048,0.5,32,low,p00344,False
140,2.8000000000000003,t13,qwen2.5-1.5b-r1,"[""root-00"", ""tenant-093"", ""p00093""]",256,0.6666666666666666,32,low,p00093,False
141,2.82,t14,qwen2.5-1.5b-r1,"[""root-06"", ""tenant-060"", ""p00254""]",512,0.8333333333333333,32,low,p00254,False
142,2.84,t13,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-058"", ""p00349""]",1024,0.6666666666666666,32,low,p00349,False
143,2.86,t00,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-060"", ""p00448""]",2048,0.5,32,low,p00448,False
144,2.88,t10,qwen2.5-1.5b-r1,"[""root-18"", ""tenant-072"", ""p00266""]",256,0.8333333333333333,32,low,p00266,False
145,2.9,t02,qwen2.5-1.5b-r1,"[""root-05"", ""tenant-001"", ""p00098""]",512,0.8333333333333333,32,low,p00098,False
146,2.92,t07,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-069"", ""p00263""]",1024,1.0,32,low,p00263,False
147,2.94,t00,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-016"", ""p00016""]",2048,0.5,32,low,p00016,False
148,2.96,t12,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-087"", ""p00572""]",256,0.5,32,low,p00572,False
149,2.98,t12,qwen2.5-1.5b-r1,"[""root-28"", ""tenant-039"", ""p00524""]",512,0.5,32,low,p00524,False
150,3.0,t01,qwen2.5-1.5b-r1,"[""root-29"", ""tenant-013"", ""p00401""]",1024,0.6666666666666666,32,low,p00401,False
151,3.02,t13,qwen2.5-1.5b-r1,"[""root-25"", ""tenant-009"", ""p00397""]",2048,0.6666666666666666,32,low,p00397,False
152,3.04,t11,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-087"", ""p00475""]",256,1.0,32,low,p00475,False
153,3.06,t09,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-009"", ""p00009""]",512,0.6666666666666666,32,low,p00009,False
154,3.08,t00,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-062"", ""p00256""]",1024,0.5,32,low,p00256,False
155,3.1,t13,qwen2.5-1.5b-r1,"[""root-07"", ""tenant-026"", ""p00317""]",2048,0.6666666666666666,32,low,p00317,False
156,3.12,t02,qwen2.5-1.5b-r1,"[""root-27"", ""tenant-015"", ""p00306""]",256,0.8333333333333333,32,low,p00306,False
157,3.14,t11,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-009"", ""p00203""]",512,1.0,32,low,p00203,False
158,3.16,t12,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-072"", ""p00460""]",1024,0.5,32,low,p00460,False
159,3.18,t00,qwen2.5-1.5b-r1,"[""root-01"", ""tenant-043"", ""p00528""]",2048,0.5,32,low,p00528,False
160,3.2,t14,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-091"", ""p00382""]",256,0.8333333333333333,32,low,p00382,False
161,3.22,t07,qwen2.5-1.5b-r1,"[""root-24"", ""tenant-055"", ""p00055""]",512,1.0,32,low,p00055,False
162,3.24,t02,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-017"", ""p00114""]",1024,0.8333333333333333,32,low,p00114,False
163,3.2600000000000002,t00,qwen2.5-1.5b-r1,"[""root-03"", ""tenant-096"", ""p00096""]",2048,0.5,32,low,p00096,False
164,3.2800000000000002,t00,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-027"", ""p00512""]",256,0.5,32,low,p00512,False
165,3.3000000000000003,t02,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-077"", ""p00562""]",512,0.8333333333333333,32,low,p00562,False
166,3.3200000000000003,t06,qwen2.5-1.5b-r1,"[""root-24"", ""tenant-000"", ""p00582""]",1024,0.8333333333333333,32,low,p00582,False
167,3.34,t02,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-094"", ""p00482""]",2048,0.8333333333333333,32,low,p00482,False
168,3.36,t10,qwen2.5-1.5b-r1,"[""root-00"", ""tenant-089"", ""p00186""]",256,0.8333333333333333,32,low,p00186,False
169,3.38,t15,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-093"", ""p00287""]",512,1.0,32,low,p00287,False
170,3.4,t04,qwen2.5-1.5b-r1,"[""root-25"", ""tenant-083"", ""p00180""]",1024,0.5,32,low,p00180,False
171,3.42,t03,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-066"", ""p00163""]",2048,1.0,32,low,p00163,False
172,3.44,t06,qwen2.5-1.5b-r1,"[""root-19"", ""tenant-034"", ""p00422""]",256,0.8333333333333333,32,low,p00422,False
173,3.46,t12,qwen2.5-1.5b-r1,"[""root-29"", ""tenant-071"", ""p00556""]",512,0.5,32,low,p00556,False
174,3.48,t06,qwen2.5-1.5b-r1,"[""root-08"", ""tenant-070"", ""p00070""]",1024,0.8333333333333333,32,low,p00070,False
175,3.5,t09,qwen2.5-1.5b-r1,"[""root-26"", ""tenant-057"", ""p00057""]",2048,0.6666666666666666,32,low,p00057,False
176,3.52,t15,qwen2.5-1.5b-r1,"[""root-01"", ""tenant-074"", ""p00559""]",256,1.0,32,low,p00559,False
177,3.54,t03,qwen2.5-1.5b-r1,"[""root-06"", ""tenant-002"", ""p00099""]",512,1.0,32,low,p00099,False
178,3.56,t12,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-043"", ""p00140""]",1024,0.5,32,low,p00140,False
179,3.58,t13,qwen2.5-1.5b-r1,"[""root-15"", ""tenant-088"", ""p00573""]",2048,0.6666666666666666,32,low,p00573,False
180,3.6,t15,qwen2.5-1.5b-r1,"[""root-02"", ""tenant-095"", ""p00095""]",256,1.0,32,low,p00095,False
181,3.62,t03,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-001"", ""p00195""]",512,1.0,32,low,p00195,False
182,3.64,t04,qwen2.5-1.5b-r1,"[""root-23"", ""tenant-019"", ""p00116""]",1024,0.5,32,low,p00116,False
183,3.66,t13,qwen2.5-1.5b-r1,"[""root-14"", ""tenant-045"", ""p00045""]",2048,0.6666666666666666,32,low,p00045,False
184,3.68,t10,qwen2.5-1.5b-r1,"[""root-17"", ""tenant-040"", ""p00234""]",256,0.8333333333333333,32,low,p00234,False
185,3.7,t03,qwen2.5-1.5b-r1,"[""root-03"", ""tenant-014"", ""p00499""]",512,1.0,32,low,p00499,False
186,3.72,t14,qwen2.5-1.5b-r1,"[""root-27"", ""tenant-042"", ""p00430""]",1024,0.8333333333333333,32,low,p00430,False
187,3.74,t06,qwen2.5-1.5b-r1,"[""root-09"", ""tenant-005"", ""p00102""]",2048,0.8333333333333333,32,low,p00102,False
188,3.7600000000000002,t01,qwen2.5-1.5b-r1,"[""root-25"", ""tenant-079"", ""p00273""]",256,0.6666666666666666,32,low,p00273,False
189,3.7800000000000002,t13,qwen2.5-1.5b-r1,"[""root-16"", ""tenant-012"", ""p00109""]",512,0.6666666666666666,32,low,p00109,False
190,3.8000000000000003,t02,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-064"", ""p00258""]",1024,0.8333333333333333,32,low,p00258,False
191,3.8200000000000003,t02,qwen2.5-1.5b-r1,"[""root-28"", ""tenant-047"", ""p00338""]",2048,0.8333333333333333,32,low,p00338,False
192,3.84,t12,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-074"", ""p00268""]",256,0.5,32,low,p00268,False
193,3.86,t10,qwen2.5-1.5b-r1,"[""root-21"", ""tenant-071"", ""p00362""]",512,0.8333333333333333,32,low,p00362,False
194,3.88,t10,qwen2.5-1.5b-r1,"[""root-07"", ""tenant-022"", ""p00410""]",1024,0.8333333333333333,32,low,p00410,False
195,3.9,t06,qwen2.5-1.5b-r1,"[""root-11"", ""tenant-069"", ""p00166""]",2048,0.8333333333333333,32,low,p00166,False
196,3.92,t04,qwen2.5-1.5b-r1,"[""root-04"", ""tenant-004"", ""p00004""]",256,0.5,32,low,p00004,False
197,3.94,t08,qwen2.5-1.5b-r1,"[""root-10"", ""tenant-083"", ""p00568""]",512,0.5,32,low,p00568,False
198,3.96,t13,qwen2.5-1.5b-r1,"[""root-00"", ""tenant-007"", ""p00589""]",1024,0.6666666666666666,32,low,p00589,False
199,3.98,t07,qwen2.5-1.5b-r1,"[""root-30"", ""tenant-053"", ""p00247""]",2048,1.0,32,low,p00247,False
200,4.0,t05,qwen2.5-1.5b-r1,"[""root-20"", ""tenant-000"", ""p00485""]",256,0.6666666666666666,32,low,p00485,False
201,4.0200000000000005,t01,qwen2.5-1.5b-r1,"[""root-18"", ""tenant-049"", ""p00049""]",512,0.6666666666666666,32,low,p00049,False
